-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 04/01/2024 in LST
Location: Latitude  9.99   Longitude 99.84 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M
2024,1,1,0,0.0,28.41,82.16
2024,1,1,1,0.0,28.29,82.6
2024,1,1,2,0.0,28.19,82.82
2024,1,1,3,0.0,28.1,82.93
2024,1,1,4,0.0,28.08,82.82
2024,1,1,5,0.0,28.11,82.79
2024,1,1,6,3.53,28.17,82.8
2024,1,1,7,63.83,28.29,82.62
2024,1,1,8,198.12,28.4,82.5
2024,1,1,9,348.5,28.5,82.46
2024,1,1,10,458.65,28.51,82.62
2024,1,1,11,455.05,28.45,82.87
2024,1,1,12,463.67,28.34,83.25
2024,1,1,13,391.25,28.2,83.56
2024,1,1,14,409.17,28.04,83.87
2024,1,1,15,311.2,27.92,83.94
2024,1,1,16,173.25,27.84,83.91
2024,1,1,17,46.97,27.8,84.1
2024,1,1,18,0.0,27.77,84.55
2024,1,1,19,0.0,27.78,84.7
2024,1,1,20,0.0,27.8,84.61
2024,1,1,21,0.0,27.78,84.39
2024,1,1,22,0.0,27.72,84.33
2024,1,1,23,0.0,27.67,84.3
2024,1,2,0,0.0,27.61,84.22
2024,1,2,1,0.0,27.54,84.01
2024,1,2,2,0.0,27.47,83.9
2024,1,2,3,0.0,27.39,83.96
2024,1,2,4,0.0,27.34,84.07
2024,1,2,5,0.0,27.31,84.18
2024,1,2,6,3.58,27.33,84.16
2024,1,2,7,94.93,27.44,83.73
2024,1,2,8,266.38,27.61,82.76
2024,1,2,9,473.12,27.75,82.07
2024,1,2,10,608.78,27.83,81.93
2024,1,2,11,713.35,27.89,82.01
2024,1,2,12,513.42,27.92,82.21
2024,1,2,13,629.72,27.92,82.66
2024,1,2,14,498.48,27.94,82.96
2024,1,2,15,386.58,27.97,83.13
2024,1,2,16,197.4,28.01,83.24
2024,1,2,17,61.55,28.04,83.43
2024,1,2,18,0.0,28.05,83.69
2024,1,2,19,0.0,28.09,83.83
2024,1,2,20,0.0,28.11,83.93
2024,1,2,21,0.0,28.13,83.82
2024,1,2,22,0.0,28.11,83.63
2024,1,2,23,0.0,28.07,83.31
2024,1,3,0,0.0,28.02,82.98
2024,1,3,1,0.0,27.93,82.82
2024,1,3,2,0.0,27.84,82.78
2024,1,3,3,0.0,27.76,82.75
2024,1,3,4,0.0,27.72,82.74
2024,1,3,5,0.0,27.76,82.4
2024,1,3,6,2.95,27.83,82.1
2024,1,3,7,88.85,27.98,81.69
2024,1,3,8,266.25,28.16,81.26
2024,1,3,9,468.92,28.31,81.15
2024,1,3,10,626.9,28.39,81.33
2024,1,3,11,717.97,28.44,81.5
2024,1,3,12,766.0,28.46,81.6
2024,1,3,13,680.92,28.47,81.44
2024,1,3,14,576.9,28.47,81.11
2024,1,3,15,461.52,28.45,80.9
2024,1,3,16,259.42,28.45,80.49
2024,1,3,17,81.15,28.49,79.84
2024,1,3,18,0.0,28.5,79.63
2024,1,3,19,0.0,28.53,79.23
2024,1,3,20,0.0,28.54,78.82
2024,1,3,21,0.0,28.53,78.43
2024,1,3,22,0.0,28.46,78.45
2024,1,3,23,0.0,28.36,78.68
2024,1,4,0,0.0,28.25,78.88
2024,1,4,1,0.0,28.14,78.94
2024,1,4,2,0.0,28.05,78.73
2024,1,4,3,0.0,27.97,78.46
2024,1,4,4,0.0,28.03,77.64
2024,1,4,5,0.0,28.16,76.8
2024,1,4,6,0.0,28.3,76.14
2024,1,4,7,98.55,28.48,75.77
2024,1,4,8,274.27,28.66,75.69
2024,1,4,9,458.35,28.8,76.03
2024,1,4,10,593.75,28.84,76.61
2024,1,4,11,688.45,28.82,77.0
2024,1,4,12,718.92,28.78,77.03
2024,1,4,13,653.83,28.76,76.85
2024,1,4,14,558.67,28.76,76.41
2024,1,4,15,420.62,28.79,75.71
2024,1,4,16,239.35,28.79,75.53
2024,1,4,17,74.03,28.76,75.59
2024,1,4,18,0.0,28.7,75.66
2024,1,4,19,0.0,28.63,75.58
2024,1,4,20,0.0,28.55,75.2
2024,1,4,21,0.0,28.49,74.53
2024,1,4,22,0.0,28.42,73.79
2024,1,4,23,0.0,28.35,73.08
2024,1,5,0,0.0,28.28,72.63
2024,1,5,1,0.0,28.2,72.47
2024,1,5,2,0.0,28.13,72.47
2024,1,5,3,0.0,28.09,72.66
2024,1,5,4,0.0,28.13,72.92
2024,1,5,5,0.0,28.18,73.44
2024,1,5,6,0.0,28.23,74.25
2024,1,5,7,72.07,28.34,75.01
2024,1,5,8,205.5,28.46,75.65
2024,1,5,9,352.4,28.54,76.48
2024,1,5,10,473.83,28.59,77.02
2024,1,5,11,525.8,28.61,77.2
2024,1,5,12,556.33,28.61,77.22
2024,1,5,13,518.15,28.61,77.15
2024,1,5,14,453.95,28.61,76.97
2024,1,5,15,328.35,28.62,76.63
2024,1,5,16,181.12,28.64,76.16
2024,1,5,17,54.35,28.65,75.72
2024,1,5,18,0.0,28.63,75.27
2024,1,5,19,0.0,28.65,74.43
2024,1,5,20,0.0,28.61,73.79
2024,1,5,21,0.0,28.55,73.28
2024,1,5,22,0.0,28.48,72.95
2024,1,5,23,0.0,28.44,72.85
2024,1,6,0,0.0,28.4,73.03
2024,1,6,1,0.0,28.35,73.24
2024,1,6,2,0.0,28.31,73.36
2024,1,6,3,0.0,28.31,73.5
2024,1,6,4,0.0,28.34,73.75
2024,1,6,5,0.0,28.39,73.94
2024,1,6,6,0.0,28.45,74.25
2024,1,6,7,89.8,28.59,74.43
2024,1,6,8,253.98,28.73,74.5
2024,1,6,9,436.02,28.84,74.7
2024,1,6,10,597.67,28.92,74.75
2024,1,6,11,694.65,28.96,74.68
2024,1,6,12,667.53,28.97,74.44
2024,1,6,13,624.22,28.97,74.23
2024,1,6,14,488.4,28.96,74.15
2024,1,6,15,335.38,28.96,73.97
2024,1,6,16,171.02,28.97,73.74
2024,1,6,17,59.58,28.97,73.59
2024,1,6,18,0.0,28.93,73.7
2024,1,6,19,0.0,28.91,73.52
2024,1,6,20,0.0,28.88,73.21
2024,1,6,21,0.0,28.81,73.04
2024,1,6,22,0.0,28.72,73.01
2024,1,6,23,0.0,28.64,73.01
2024,1,7,0,0.0,28.54,73.13
2024,1,7,1,0.0,28.44,73.35
2024,1,7,2,0.0,28.37,73.57
2024,1,7,3,0.0,28.35,73.9
2024,1,7,4,0.0,28.42,74.06
2024,1,7,5,0.0,28.52,74.1
2024,1,7,6,0.0,28.63,74.15
2024,1,7,7,92.88,28.81,74.07
2024,1,7,8,266.8,28.97,73.91
2024,1,7,9,454.5,29.1,74.08
2024,1,7,10,611.45,29.13,74.53
2024,1,7,11,744.08,29.11,74.96
2024,1,7,12,745.38,29.08,75.35
2024,1,7,13,720.25,29.07,75.72
2024,1,7,14,605.92,29.04,76.26
