meter_id,lat,lon,utm_x,utm_y,node_type,usage_type,meter_size,tariff_code,phase_conn,phase_id,peak_load_kw,has_solar,solar_kw,has_ev,transformer_id,dist_m,line_R,line_X,v_actual,v_drop_pct,building_name,building_code
UTCC-2000,13.781224365471099,100.56142251343363,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,96.11476146345434,True,10.93673425141434,False,0,21.907626786116296,0.007010440571557215,0.006134135500112564,229.56184746427766,0.1905011024879678,Building 1,B-01
UTCC-2001,13.781509529711363,100.5611759759269,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,100.6490570137833,False,0.0,False,0,39.71274333249519,0.01270807786639846,0.011119568133098653,229.2057451333501,0.34532820289126254,Building 2,B-02
UTCC-2002,13.780973843738856,100.56133678434246,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,21.47050251339326,True,23.951394231344615,False,0,23.151718661504688,0.0074085499716815,0.006482481225221314,229.5369656267699,0.20131929270873644,Building 3,B-03
UTCC-2003,13.781534248791152,100.56131583034085,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,27.10020370561381,True,46.38985409464678,True,0,42.77907066548581,0.013689302612955461,0.01197813978633603,229.14441858669028,0.3719919188303114,Building 4,B-04
UTCC-2004,13.780797027005617,100.56075042283308,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,80.79729097171209,False,0.0,False,0,67.18369755636263,0.021498783218036045,0.01881143531578154,228.65632604887276,0.5842060657075011,Building 5,B-05
UTCC-2005,13.781014352423757,100.56074950893071,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,99.04762866005173,False,0.0,False,0,56.38055657038956,0.01804177810252466,0.015786555839709077,228.8723888685922,0.49026570930773533,Building 6,B-06
UTCC-2006,13.780699521154428,100.56138713597711,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,108.31672546136846,True,33.26923152274915,True,0,53.44482353575174,0.017102343531440557,0.014964550590010488,228.93110352928497,0.46473759596305864,Building 7,B-07
UTCC-2007,13.77900125669232,100.5595189020574,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,143.14260207202238,False,0.0,True,1,35.749022621477344,0.011439687238872752,0.010009726334013659,229.28501954757044,0.310861066273716,Building 8,B-08
UTCC-2008,13.77873925424594,100.55966391721353,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,112.74626097662144,True,24.427814044762112,True,1,66.3005352913444,0.02121617129323021,0.018564149881576435,228.6739892941731,0.5765263938377775,Building 9,B-09
UTCC-2009,13.779012360622183,100.5592433811281,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,125.50024967140057,True,29.153555659279103,False,1,16.070587671230946,0.005142588054793903,0.004499764547944665,229.67858824657537,0.13974424061939952,Building 10,B-10
UTCC-2010,13.779246055576039,100.55888365373806,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,78.7965726403424,False,0.0,True,1,40.4479608173159,0.01294334746154109,0.011325429028848453,229.19104078365368,0.3517213984114426,Building 11,B-11
UTCC-2011,13.778689640758115,100.5593033947483,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,76.94498930617965,False,0.0,False,1,52.3977523509321,0.01676728075229827,0.01467137065826099,228.95204495298137,0.45563262913854,Building 12,B-12
UTCC-2012,13.77948435642241,100.55908882468486,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,67.76681888338328,True,15.751182291646026,False,1,39.885645817133465,0.012763406661482709,0.01116798082879737,229.20228708365732,0.3468317027576823,Building 13,B-13
UTCC-2013,13.779051815337112,100.55941748580479,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,73.77429249135255,False,0.0,False,1,23.18782801090817,0.007420104963490615,0.0064925918430542885,229.53624343978183,0.2016332870513754,Building 14,B-14
UTCC-2014,13.78111888296753,100.55895406067224,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,46.83192678534196,True,43.7711698393312,True,2,31.68997927920683,0.010140793369346186,0.008873194198177914,229.36620041441586,0.2755650372104942,Building 15,B-15
UTCC-2015,13.780873015993844,100.55928075357964,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,113.80748096837455,False,0.0,True,2,31.894163610053024,0.010206132355216968,0.008930365810814848,229.36211672779893,0.27734055313089584,Building 16,B-16
UTCC-2016,13.781275484875355,100.55967195555387,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,135.0802223637442,False,0.0,False,2,50.03933671808603,0.01601258774978753,0.014011014281064089,228.99921326563828,0.4351246671137915,Building 17,B-17
UTCC-2017,13.78137537914499,100.55955046746274,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,78.62676357921524,True,21.664800307519915,True,2,42.40596634484835,0.013569909230351474,0.01187367057655754,229.15188067310302,0.36874753343346395,Building 18,B-18
UTCC-2018,13.78096830554845,100.55895402245326,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,97.43606683695452,True,34.6013724453762,False,2,37.7533646456621,0.012081076686611875,0.01057094210078539,229.24493270708675,0.3282901273535835,Building 19,B-19
UTCC-2019,13.78081329751487,100.55963560901759,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,108.12253115106216,False,0.0,False,2,58.42234300324625,0.0186951497610388,0.01635825604090895,228.83155313993507,0.5080203739412716,Building 20,B-20
UTCC-2020,13.78133742244347,100.55896831799404,0.0,0.0,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,135.70078976387995,False,0.0,False,2,35.92394205208938,0.011495661456668603,0.010058703774585028,229.2815211589582,0.3123821048007772,Building 21,B-21
